'序号,'评论人,'UID,'抖音号,'性别↓,'获赞数↓,'子评数↓,'年龄↓,'评论时间↓,'评论详情,'cid,'sec_uid
'1,'卍卐,'259073634217412,'dy07xvj8kn92,'-,'5757,'200,'2020,'2020-03-21 08:00:50,'只要好听的，都是放的原唱[看],'6806630023299235847,'MS4wLjABAAAACIIH4_-1RjBJRC6YEDDKCgfxqNwjL3K6BhrtI8CKllo
'2,'果断   智慧,'835238891894120,'dy1781s8wxua,'女,'1990,'82,'33,'2020-03-21 07:32:36,'到底是啥歌啊？找了半天没找到[捂脸],'6806622747423309832,'MS4wLjABAAAA_chdm9pYgYioAbl1ySJUfAZAuaFR4OLSdTATrQASqqE
'3,'小李小李-,'61616299112,'280837953,'女,'5139,'13,'2020,'2020-03-21 08:01:14,'好听诶,'6806630122088054784,'MS4wLjABAAAApwH3PZa9euiowjRosXH1os2yfG2Tc8oVsTe0VgH1HH0
'4,'北月爱凯????,'3223398917360558,'2220271701,'女,'2789,'15,'2020,'2020-03-21 08:01:02,'好听,'6806630074146717709,'MS4wLjABAAAAWaGdtH9Gu0gNftuEREZ0-bBbRHpM6USAVJEp4PHp-YtgcVN3NcUXnf5T9ZISf1te
'5,'已重置,'2911110093616862,'dyklnk47svt0,'男,'4034,'233,'27,'2020-03-21 08:01:01,'别瞎改，以前是点好，好好唱一起挺你，,'6806630069944434688,'MS4wLjABAAAAUQCsB_vgaysba3WhvQcUSI7UaCx6Rr-c7bhVc5mW-jxTuT2WmPPGvKbUQ17qBfr9
'6,'小可小可,'104749696992,'1534232047,'女,'1375,'4,'24,'2020-03-21 08:00:48,'怎么就真的这么好听呢,'6806630014080483343,'MS4wLjABAAAAxpdB7ASxR6hLZPBXB9m6ZC323NXSEZpdoGs7xeLGDrE
'7,'神行天下,'81675845518,'1134876171,'男,'601,'7,'2020,'2020-03-21 08:00:27,'太好听了，加油[可怜][可怜],'6806629917485547531,'MS4wLjABAAAA3wYAuxdg7bNoZDZRNFCR95Dg_n_5HhMfIH37JaLE5Is
'8,'猫猫,'927579229136286,'dytp88v1h8ed,'男,'362,'6,'2020,'2020-03-21 07:12:50,'我想听青藏高原,'6806617652560920590,'MS4wLjABAAAA7-s7wrZHzwqMclBKRoSUgZtAQZ0VG46U4nEfMz5XaZg
'9,'柒,'2985886481122923,'dyvxgkcu6vk3,'女,'246,'2,'2020,'2020-03-21 07:10:21,'我出息了看到林 童学没过10万的作品。,'6806617011159482368,'MS4wLjABAAAAKLl5LXDZoInNQaJc_-vJVRSVOcMk60lkFsiVATzqq6F9KijdM72hWCcALhnsT33O
'10,'嫑忈.,'60968354565,'166498954,'-,'1490,'20,'2020,'2020-03-21 06:35:41,'我在你10w粉丝的时候关注你，没想到这么快就400多w了，加油，我相信你会更火的,'6806608075789877260,'MS4wLjABAAAAaObMCx2E6jPuYvSxAalD5CB15ByxUyWFHi5bknqnNO4
'11,'LYC,'96499256475,'700240147,'男,'0,'0,'15,'2020-03-21 09:44:37,'是看得见吧,'6806656763987935236,'MS4wLjABAAAAbqP7RP7Ffac8rhUCsJlbAddwJaUK3zAebqKX3zOgZQ4
'12,'苏梓甜.（测童年）,'99821719833,'1028423791,'女,'0,'1,'16,'2020-03-21 09:44:35,'唱他不懂!,'6806656762549501965,'MS4wLjABAAAAZNCIBkqj4MyX0Xxw9RLxOHtIIILbh8QkOdILsIOMLxY
'13,'花臂男神,'95043534726,'584001203,'男,'0,'0,'28,'2020-03-21 09:44:33,'衡阳的吗小哥哥[鼓掌],'6806656746582048768,'MS4wLjABAAAABaHSnVba7sU427BwPVHCzugPu3MfY6feHxZYfKM3ti0
'14,'??少??妇??惹??人??爱??,'100414894457,'shaofurerenai,'女,'0,'0,'28,'2020-03-21 09:44:32,'这小孩是经历了什么[捂脸]我看见他脖子上的青筋了[捂脸],'6806656747634491405,'MS4wLjABAAAA7vD8dV8zsUOnse8y3JoybYX1xaHiTDMcLEByMAXgy9k
'15,'尛果冻ル,'496606803143739,'QY888888887,'女,'0,'0,'24,'2020-03-21 09:44:28,'为什么都那么短。？,'6806656725618819087,'MS4wLjABAAAAwHdjIMHdvNLNoZ9UpKfXASI74aG-r6WaL9yNc1oBmqs
'16,'张落尘,'67963112813,'292380846,'男,'0,'0,'26,'2020-03-21 09:44:28,'@南鄂.,'6806656729267568640,'MS4wLjABAAAA-bnmJcKq36gs1XKqQZachGGj51i37hBJsn5iktxyUUw
'17,'卡殿,'105038340085,'1595857209,'男,'1,'0,'2020,'2020-03-21 09:44:26,'这把吉他经历了多少他这个年纪不该承受的痛苦[看],'6806656714520559627,'MS4wLjABAAAAlN9EjuMUOE8Ss4K5UmioIQYYhTjxi4Xrlzh1yL9Y3fg
'18,'A     铁钢小姐姐??,'61556311420,'326639981,'女,'1,'0,'21,'2020-03-21 09:44:10,'看到你脖子上的青筋，突然有点难过。,'6806656652062769167,'MS4wLjABAAAAsqMJ4DVP5H5u0LUKC1T4EJk1HJhH374SpgMt7pnXjqA
'19,'C  L,'71770829813,'186131675,'男,'0,'0,'2020,'2020-03-21 09:44:09,'不伸舌头唱的歌没有灵魂[呲牙],'6806656648409645070,'MS4wLjABAAAAqoPAZte4wdMwETlBN4RakQSkjx3KyLhF5USsreGNyn4
'20,'诶嘿,'61189143280,'123zyy456,'女,'0,'0,'2020,'2020-03-21 09:44:08,'@kiki.,'6806656639874105347,'MS4wLjABAAAA0lUhVMk7zjaaGQGGm0V4kB5gzF0R7zagGAlShUHm1Lc
'21,'????????,'84493908190,'354594211,'女,'0,'0,'2020,'2020-03-21 09:44:07,'好听,'6806656639572443149,'MS4wLjABAAAAH_5zwp_7zb5npZxA2_2wo6cOr6cEWaGbiEJiBNiDFOA
'22,'L_雁鑫,'59170501267,'386390093,'男,'0,'0,'27,'2020-03-21 09:44:07,'我感觉有一首比较合适你，平凡之路,'6806656639904219143,'MS4wLjABAAAAOTtfXLz-sYld3CyV-JXGLW9uWjdTRbuf_drqweYyDxM
'23,'浪浪,'101437262566,'1227438272,'-,'0,'0,'2020,'2020-03-21 09:44:04,'精神小伙,'6806656627027132423,'MS4wLjABAAAAX9m1ObtXb4o-kbAslVhnmj2TjkI5ViJLsMD7k5YMWg8
'24,'表胖,'107701184462,'zhanghaitao338,'男,'0,'0,'27,'2020-03-21 09:44:04,'林童靴，绿胖子今晚失恋了吗？,'6806656625571577871,'MS4wLjABAAAAlU0ajvKi3TC554zzIohzy9DBVBAt-TtBJAhR5Zjni8c
'25,'是柠檬（拿图背景墙）,'1156340695444270,'zx168989,'女,'0,'0,'22,'2020-03-21 09:44:03,'好听,'6806656624208773128,'MS4wLjABAAAAsipby2tOgJoGxD28kU9opSjwkfTXWfmMSGDTzcC8qY8eidqlPkWo-OwFmMPA5eJt
'26,'情感闺蜜Emily,'672540067915491,'Emily..520,'女,'0,'0,'24,'2020-03-21 09:44:01,'青春,'6806656616113553422,'MS4wLjABAAAAgzdbITMSjvoza1YtkAIUqAAeyccViL6PFIXr2OfQXXw
'27,'你若安好 便是晴天,'62137249013,'TFBOYSliushijie5,'男,'0,'0,'13,'2020-03-21 09:44:01,'株洲小伙，爱了爱了[泣不成声],'6806656609117421580,'MS4wLjABAAAALEuw_2PwUC2jQcpEFWRRSJFpMGSFQLGK4INhD8h0uyk
'28,'阿棠,'100771534523,'1096296933,'女,'0,'0,'2020,'2020-03-21 09:44:00,'@晓仙女儿??,'6806656609776238599,'MS4wLjABAAAAtmDHEvqXP-2BZL_0XUePU_pfrEo_CyjRznWLKFkWEaw
'29,'。。。。。。。。。。。。。,'1943555941611208,'dyt5xjvv24dc,'男,'0,'0,'13,'2020-03-21 09:43:59,'期待完整版的,'6806656607011913741,'MS4wLjABAAAAU8gktgQhFxratpf4IyBSfHJ6g0Rot_tNTBlZZ9uttjd0qDpADc5YRE2aFt_kXpRg
'30,'美女集中营,'3830294243182611,'SL19990428520,'男,'0,'0,'20,'2020-03-21 09:43:43,'不是我吹在坐的父母都能活到100岁以上，关注我一下[捂脸][捂脸],'6806656533372420100,'MS4wLjABAAAAV7xIu_wTO7cVmgvLpEjLlRwnxhiCl0xDSTDw6wEdfqZbL3NCGmOsu3N2bYRyPE1L
'31,'3219.6万人,'4129402067631980,'dy18hf6l3mf5,'-,'0,'0,'2020,'2020-03-21 09:43:37,'我差点被你带偏了。,'6806656512963280909,'MS4wLjABAAAADvj0xDHxnuHRpGNnokqxS58WgJZLL9MGvM9QlR8Lo6xJ_xu7gqVez_n0cOAPJIYN
'32,'九迩,'74607937153,'840929772,'-,'0,'0,'2020,'2020-03-21 09:43:34,'我也会 模仿起来,'6806656499633389575,'MS4wLjABAAAATDXvdHUBl-dYOQk85L_S3AHXvrVkGOgq0Lu0MDTEDjw
'33,'单潸潸·,'63458280697,'108141421,'女,'0,'0,'19,'2020-03-21 09:43:34,'打开抖音就是想看他[微笑],'6806656498115198990,'MS4wLjABAAAArK0gwVR8YbnmTy6VprhLWY3qtVN4gHrbLSjbl301DH0
'34,'顾洛儿《顾家》,'103212865104,'1295638696,'女,'0,'0,'12,'2020-03-21 09:43:27,'我忘了是啥花。花语是，嗯，那个宁愿做配角来保护你。,'6806656467173736456,'MS4wLjABAAAA0RgLNX2wQGip3bZaajwsu-qhhHzshW6qhZppJV8l54U
'35,'浮世＆千寻,'98521980737,'962690227,'-,'0,'0,'2020,'2020-03-21 09:43:25,'@kimi―小星星??,'6806656458827513864,'MS4wLjABAAAA5NSPUscMCCFlmWHv3-QJXxj4OULvzG7taRaAkg6eLyA
'36,'小魏??,'82997971598,'179398758,'男,'0,'0,'34,'2020-03-21 09:43:23,'我想听完整版,'6806656446663491596,'MS4wLjABAAAArrzMrjz2DliORSuvOV0JMX9zO4qjBhOPfuXR_Cq-Owk
'37,'不爱无需留念,'71852158869,'1725281060,'-,'1,'0,'2020,'2020-03-21 09:43:22,'上帝夺走了胖子的帅气，给了他一副好听的声音,'6806656442725302287,'MS4wLjABAAAA_9kmuGJiAzzHcLImgpeM6BFzBdl6tTgzl93A4Efmo2M
'38,'-aaa,'93028484279,'348681790,'-,'0,'0,'2020,'2020-03-21 09:43:22,'@玺烊烊. 你的意思就是让我放下你吧....,'6806656443383562240,'MS4wLjABAAAAfwU7KZFNptXGfc3fd8rnh2dU4wMWF-hAwL779N5asTw
'39,'彭于晏..,'4111815544407580,'dypjp2xvjvx2,'男,'1,'0,'18,'2020-03-21 09:43:21,'谁能和我说说这是什么发型[送心][送心],'6806656438019260420,'MS4wLjABAAAAvpNKTimhJVpNQ1lrNSrx4FJKBLxgzApUQAFhS3vJ2jC01uDUQtGVj47QSVciaX00
'40,'点点滴滴,'97845005483,'dyjoxkefo2mv,'男,'0,'0,'20,'2020-03-21 09:43:19,'你为啥不把多的琴弦夹断，就是琴头哪里,'6806656432902029312,'MS4wLjABAAAAWwH2ajmdDvWGX0spcO0eUcWYQubv90MbB2XDxYLXOys
'41,'时光浅??夏,'101968189185,'1191016646,'女,'0,'0,'15,'2020-03-21 09:43:18,'文明点歌《有一种爱叫放手》[调皮],'6806656426740645891,'MS4wLjABAAAAIliC67tWolsQBRN1UDA6tZ-J9VNMPMHrkQRSLaHsXDw
'42,'雨声,'2159052177290764,'85857857n,'男,'0,'0,'19,'2020-03-21 09:43:17,'有一种爱叫做放手，让她去奔像比我更好的人。,'6806656422639304704,'MS4wLjABAAAA1uPMtxWlwkZClEHzun5ZWAvtasqcDqa0qpLJ1Aaj9gWfWcaJOQlJ34KtV5FzGuME
'43,'熊三。,'93376617615,'602476200,'女,'0,'0,'2020,'2020-03-21 09:43:17,'@张银河,'6806656421909348367,'MS4wLjABAAAAtO7CJb2iPYv0VWXS2I6WsoXqv4CMK8puFMLRMGenJjU
'44,'╭愤怒的小鳥,'108878398832,'1832656398,'-,'1,'0,'2020,'2020-03-21 09:43:15,'一看你就弹断了好多[鼓掌],'6806656408009588748,'MS4wLjABAAAA3ITsuVuNNLxeE1_GD6P-wKiiOa7VmHd4x8oU1e4a4no
'45,'Kilig.,'60679118353,'127873360,'女,'0,'0,'16,'2020-03-21 09:43:14,'@把你卖了买糖吃 [泣不成声],'6806656407581687823,'MS4wLjABAAAA6Y-hlze62mdILGux86cH_8eOH6SleS-rBTLr3gCKvsY
'46,'草莓味多巴胺,'1754425135732043,'dy89m8a20iw3,'女,'0,'0,'18,'2020-03-21 09:43:08,'@桨野 不知道为什么我想笑,'6806656381811228684,'MS4wLjABAAAApb1WNk_Zz3DMwqlqLkSvD90li2GtdFO3DfVplR-wVXU-3PkrWa9pjnhaGV17aOen
'47,'轩宇喜欢吃薯片,'3566431813250283,'htt13657283980,'男,'0,'0,'2020,'2020-03-21 09:43:05,'@鹤归时雾起.,'6806656368276570115,'MS4wLjABAAAApMTVQsQpX08jvPbNMTZWjdNQCAMUhPmIjl65XxJJreB9IPgB4Cj2AW9dMt1TNJmW
'48,'餃情??,'65448481306,'569190220,'男,'0,'0,'23,'2020-03-21 09:43:05,'2018,'6806656369526325263,'MS4wLjABAAAA_B3vAEP6XjSL2lyg_wOQW8GLzTCw61qBR4XJyEfTOyI
'49,'雨。,'66175972532,'58527757,'-,'0,'0,'2020,'2020-03-21 09:43:03,'能不能换首,'6806656361238528000,'MS4wLjABAAAAYGvuKlT3wwILvkknTPVFyNrmEoVzO--Ms7xNfzZ-1m4
'50,'奢香夫人,'93257408704,'359017439,'女,'0,'0,'2020,'2020-03-21 09:42:58,'感觉这歌越来越好听了，因为自己成了曲中人,'6806656340593950735,'MS4wLjABAAAAbxENRzbktvb34B0dWASer6RAFrTPTQJuS_6_6-vvnuc
'51,'文案铺子??,'80415754493,'YOLO0001,'男,'0,'0,'21,'2020-03-21 09:42:58,'哥，求你别拍手了,'6806656337423548416,'MS4wLjABAAAARm_2l0x7faPaznbK1nhaNfHShQSdJQEZdpHk7J_cRKg
'52,'爱音乐的小恩,'74906967613,'1053558458,'男,'0,'0,'2020,'2020-03-21 09:42:58,'[看]歌名就是迷人的危险起风了,'6806656338258001932,'MS4wLjABAAAADKAFJdruZ82u-qTaM6y0_g-jpjkPmKAFLWmZzgiEFeA
'53,'望春思雨,'4147008259234174,'cay412,'男,'1,'0,'2020,'2020-03-21 09:42:56,'这个接的好，没毛病,'6806656329370157067,'MS4wLjABAAAAGVK_V9-CiThrLun5yDXfx6l5wRVMBmKRdx9OiZoWhGrc5aaHli2IEv-SSJXe89l_
'54,'LT??夏坝扎西??,'96012853719,'XVK88888m,'男,'0,'0,'18,'2020-03-21 09:42:56,'别，别做傻事了,'6806656335346892807,'MS4wLjABAAAAV-5dN_kBvtD07tXQNVUZRAU4aR7vSpSUw79ukatvIso
'55,'梦 ?,'21312165372,'9804709,'女,'0,'0,'23,'2020-03-21 09:42:56,'那性感的鼻孔是这是歌的亮点[看],'6806656331635326976,'MS4wLjABAAAA-gXDPYj-gHlE-shaclVSIsAN_vXkN6rwz6ymDb4WOIo
'56,'球迷,'97663491917,'1569421678,'男,'1,'0,'2020,'2020-03-21 09:42:54,'好听诶！[赞][赞][赞][赞][赞],'6806656326849069070,'MS4wLjABAAAA9HqNy_sMsHJj2cn04yzbLV3OHDKq3WRY5zFnyWgM0tE
'57,'?,'81203994804,'161965634,'女,'0,'0,'2020,'2020-03-21 09:42:54,'@圆滚滚的毛儿 好有感觉！,'6806656321560592399,'MS4wLjABAAAAu83tsRlehSOC_cCehSsdO5nhdeelnZwD35hf1ZBH4I4
'58,'2g少女,'81224108261,'874096776,'女,'0,'0,'21,'2020-03-21 09:42:53,'@澄明. 吴青峰的起风了好听,'6806656320440893454,'MS4wLjABAAAAWSFsnHcirZduYSWRQcYXl9TKOnb58BeOdTntbHGcZ7U
'59,'..,'3087046878182260,'11122223333...,'男,'0,'0,'2020,'2020-03-21 09:42:53,'你知道你成功吸引了一个男的,'6806656316762193931,'MS4wLjABAAAAC5CQdM8YHhc2YxtE72NjgU2rgeJp09V-SP1pBF7ai9Lre6tiZQ48QX-rglIOePFo
'60,'晚风,'52604866152,'chengguoguoguohh,'男,'0,'0,'19,'2020-03-21 09:42:52,'@海波 @落花无意，我本无名 好听,'6806656313830129667,'MS4wLjABAAAAi-TgsKzjLeVfH8gtD1z1FydKuR0bFvWmtSqhq0lX3wA
'61,'姑娘并非善类.?,'71759750331,'DINOSAURRUAS.,'女,'0,'0,'6,'2020-03-21 09:42:51,'@汐. 太好听了,'6806656312798478343,'MS4wLjABAAAAQOn9CAP4pG-jvt84O8ri7NjiBfRBndW58m-UUUsxitQ
'62,'MaoPei,'71754720982,'MaoPei0807,'男,'0,'0,'19,'2020-03-21 09:42:51,'@厢南南 [泣不成声],'6806656310151888911,'MS4wLjABAAAA_8YgQacuxDshCT3bIWkFwmhGqQIrEr8G8vUeTnLR_NU
'63,'叫我安吉啦,'76302359820,'596310194,'女,'0,'0,'24,'2020-03-21 09:42:46,'[玫瑰],'6806656285267017740,'MS4wLjABAAAAaP029QaxUilaMqlhFFe79NbAAqKKrZ7E2wlFgBDe7Gc
