word,sentiment
的,-8.922807409084477
了,-9.458649510977894
我,-9.489735552714093
捂脸,-7.498127747256524
你,-7.4092371408240165
是,-8.893536239903144
?,-2.279579263586119
都,-8.599186521912664
不,-8.263114636507593
就,-8.962923144024597
看,-7.529628265210112
这,-7.895928450091394
吗,-7.014934246981968
有,-8.099837323008272
好,-4.115221199077063
也,-8.423116292124872
玫瑰,6.597178696424464
呲牙,-2.2415859745323616
这个,-8.866127270160293
在,-8.417256712708536
啊,-5.919770665444076
泣不成声,-6.289008068424899
鼓掌,5.478545134280807
赞赞,8.586353784270944
一个,-8.624292243761724
人,-7.591848029936079
吧,-6.101628578365731
他,-9.433011149618258
还,-7.805471843400437
说,-7.748454019163903
喜欢,-7.064936484436304
就是,-7.327148134445798
想,-7.29903189817609
要,-6.28370561854478
泪奔,-6.5321173467716624
没,-8.350367368765514
.,-6.425609978311203
什么,-7.4450523959648125
给,-7.514857746819405
微笑,-3.2613658919465753
去,-8.100073085133706
没有,-7.257761819468399
不是,-7.9744645403050685
可以,-6.94072230551357
赞,-2.657602375771622
很,-6.470123161458733
怎么,-7.217291490955696
我们,-6.108760504848519
能,-7.028986453927104
吃,-7.648014904708388
比心,8.614683592712959
到,-9.367185059319421
呢,-6.77643944758155
这样,-7.168352443447464
会,-7.403018240384383
和,-7.838172606649514
她,-9.420400394812358
知道,-7.626961648658672
来,-6.040043893535979
做,-7.963443397280867
把,-8.219916204110731
这么,-6.754627966990508
自己,-7.093343625896101
还是,-6.948683255620489
你们,-3.6500705396272886
流泪,4.479304196993611
个,-6.991145030122201
太,-4.319553138733735
那个,-7.592257090580971
多,-7.198761537633108
真的,-6.924837891119783
好看,-6.129834803937296
哈哈哈,-5.439756863082086
又,-7.269654101826273
那,-7.562095441252521
赞赞赞,3.3568538380575283
感谢,8.296165040445072
看看,-7.025360462363361
小,-5.953161355226094
爱,-4.658924455921292
用,-8.547926800280713
呀,-5.847530555872067
现在,-7.811815874812102
中国,-0.07497246259056599
上,-7.579243985293854
买,-7.868414257130973
被,-8.225137914032128
看到,-7.732681360187671
让,-7.201506993715941
感觉,-6.945388698631982
真,-4.853839147927835
哈哈哈哈,-3.9789678128526074
才,-6.595304721634691
谁,-6.999993297299739
时候,-7.608718327582228
着,-7.450288353599425
视频,-7.0972516422057295
为什么,-7.328379312371516
孩子,-6.041159865247399
不会,-7.320308752739324
对,-6.091173415848991
过,-7.7351360932856625
叫,-7.110550758661989
最,-4.983875280409756
爱心,7.774868156048521
抠鼻,-6.408756880780667
觉得,-7.748255478294898
手机,-9.081553782029161
啥,-6.905784515133738
一下,-7.244435346319865
得,-7.380513486252097
一样,-6.977783839748671
跟,-7.294797350174311
好听,-2.5682204585619814
大,-5.932959420637813
可爱,-2.635556955264416
灵机一动,-5.724886700441038
加油,2.915684351109533
应该,-6.978894515967874
这是,-6.253122468740805
不要,-6.938038813832991
屏保,-9.384593778127536
不能,-7.055832945488284
这种,-7.373188690748693
壁纸,-8.816700022651997
那么,-6.90541757535453
笑,-6.651029972626429
拍,-6.900327591033455
像,-7.083034025232967
男,-8.629594377564015
么,-6.430612817634579
一,-7.518574057927646
好像,-6.47105872170997
死,-6.747324791318959
再,-6.520159938917829
漂亮,-3.1481380855580587
还有,-6.358057354918605
听,-6.210435477284683
啦,-4.732439844740012
出来,-6.092668944189135
他们,-5.353185925975015
是不是,-6.624693174393837
大笑,-4.609704018915132
钱,-7.017508818579397
女人,-7.127037760539844
别人,-7.696645186090714
比,-6.742969029657897
拿,-8.48849124311711
挺,-6.608383494363282
嘛,-6.420088172498955
笑哭,-3.6623632979174356
酷拽,-0.15705175631434076
一起加油,7.602938220707377
男人,-7.278375742865853
