,sentiment
捂脸,64.64622029783939
玫瑰,362.48878151192974
赞赞,368.795529467038
鼓掌,336.4448566207169
好,180.3354360541597
呲牙,159.83503050050746
爱心,352.60374886015535
泣不成声,67.74765017562612
看,14.723245011271008
喜欢,144.9116806647549
人,88.22074688087744
比心,301.0968712694094
想,42.938104921006904
泪奔,13.181193913639184
微笑,140.3699653750636
说,77.35531782699137
赞赞赞,327.6204417932101
赞,215.47611573873021
流泪,122.4006485940246
感谢,279.88818043541295
没,-35.31461555009285
去,35.22689024221084
没有,-9.226465939644852
不是,-6.708203448870222
爱,149.0909402179359
好看,141.09369227232784
吃,-8.04819668430682
太,172.01168836245728
做,65.01089582665364
小,68.47947269585711
知道,17.195563869592895
哈哈哈,51.053110988529085
真的,107.74537558693427
可爱,210.8792479770818
加油,280.1400348410459
看到,-9.573298915700502
中国,221.74368048243394
哈哈哈哈,107.24568973214747
视频,45.14442641452628
感觉,54.56866032279048
现在,9.601209804910464
看看,55.71071472040667
好听,205.1627542505623
真,190.15755500511176
送心,257.30007253609557
买,-27.04474782544516
漂亮,268.68963290687896
一起加油,262.74485698984563
孩子,103.79960195381437
屏保,14.651188236132837
觉得,68.1480510705457
笑,23.696698711959336
一下,40.03271083279022
手机,-81.23965474499371
不会,0.6625668319188331
不能,25.340500122685178
这种,68.8975276466542
男,-8.354245737933638
死,-0.4685915581141469
不要,44.75641366871145
听,148.63367610155683
灵机一动,87.14625181640116
这是,26.216470671526686
抠鼻,-1.1464952195184206
大笑,147.28728978781257
壁纸,9.962877791918173
笑哭,84.44643806023898
美女,214.47665633504775
好像,3.7271863453459115
应该,40.49561303170715
关注,129.52264309796595
挺,157.9228262327993
再,18.939235971204862
拍,27.948069348169696
男人,112.02855716932264
家,46.76198739583671
出来,-21.99495264243896
打脸,83.05384106499982
最后,9.63829605290412
一起,50.373783529441035
发怒,165.1353811032688
唱,150.56619175337573
女人,135.31932712381055
以后,42.95699805817245
别人,14.790897135424597
下,-33.09580738999879
是不是,-0.7426755119035796
快,-5.593358157517782
男朋友,-11.639896767016921
厉害,194.36577270025424
发呆,49.45044289159678
玩,0.15400555005110927
一定,138.03133263135655
里,-10.0872894784049
有点,43.620291424332706
老公,10.738673412008318
今天,8.44217645714404
抖音,22.673383991607956
刷,-25.685527422051617
走,33.18633145707085
不错,140.00810810549325
酷拽,8.362049135209174
强壮,320.15527686714614
已经,-6.289775558305304
以为,-13.13560450825494
好好,165.06106349181164
找,5.113819451797223
风格,192.23956286001655
戴口罩,129.2032674986031
