word,sentiment
捂脸,281.8810675
玫瑰,1482.982924
赞赞,1561.255943
鼓掌,1339.620206
好,704.1522151
呲牙,771.4927417
爱心,1442.779811
泣不成声,183.0978744
看,-10.46323378
喜欢,621.0043713
人,283.3912573
比心,1117.905651
想,-32.9357555
泪奔,115.9937319
微笑,778.443074
说,265.9546425
赞赞赞,1384.83033
赞,850.1304166
流泪,393.3761648
感谢,1319.902997
没,-226.0563027
去,-142.8711382
没有,-94.61632917
不是,-86.58615658
爱,532.8137947
好看,644.6468441
吃,-117.9433375
太,794.4236946
做,216.3152068
小,111.6559958
知道,-28.57858091
哈哈哈,276.9195598
真的,468.0719045
可爱,878.7792088
加油,826.8693466
看到,-65.54571936
中国,636.0892232
哈哈哈哈,426.2354129
视频,73.96353696
感觉,151.7094979
现在,-96.32524513
看看,45.48573245
好听,780.8922964
真,761.3369901
送心,801.3601305
买,-294.3030332
漂亮,1007.212039
一起加油,816.8209716
孩子,245.6903799
屏保,29.23690945
觉得,232.1477759
笑,225.0835593
一下,4.057836681
手机,-426.5939271
不会,-104.0638296
不能,-13.4022532
这种,272.6648176
男,48.44112202
死,96.50910556
不要,-35.86735503
听,402.5883789
灵机一动,172.7274467
这是,67.28281424
抠鼻,-217.5536583
大笑,467.2056619
壁纸,62.89768967
笑哭,371.6548578
美女,796.8757044
好像,-6.644453344
应该,103.6260907
关注,279.7238458
挺,613.4307169
再,-127.5594891
拍,50.88478
男人,401.8819354
家,60.85298613
出来,-125.7826636
打脸,169.0099388
最后,87.61723728
一起,15.03194636
发怒,480.9564229
唱,498.5428106
女人,487.9674631
以后,-89.39219148
别人,-66.57016261
下,-244.0214323
是不是,-63.40410355
快,-143.9603236
男朋友,-98.72105929
厉害,786.6793723
发呆,-17.27561209
玩,-109.0392542
一定,353.5137836
里,-75.07740705
有点,154.3583455
老公,-43.01205311
今天,-55.16158261
抖音,1.737591752
刷,-181.7261757
走,90.75195692
不错,574.7624453
酷拽,-188.4366295
强壮,970.4304363
已经,-122.103698
以为,-59.61125052
好好,445.1291155
找,-161.1064429
风格,779.8683856
戴口罩,303.8871537
哥哥,169.900195
巧克力,1071.846306
两个,92.49513234
卧槽,153.493739
奸笑,14.55588332
姐姐,435.947415
耶,566.9108214
英雄,887.770081
害羞,526.648672
回来,105.3443742
老婆,139.3980041
求,180.2026174
穿,38.75782765
点,325.0320348
装修,635.7277017
祈祷,1075.06244
大家,186.9696071
回家,579.0166506
女,89.02871257
我家,-12.97757336
小姐姐,348.1937011
谢谢,713.4562305
啊啊啊,401.9328293
老师,436.3151703
电影,-118.4388885
刚刚,-119.892562
起来,301.4970715
欢迎,765.6829957
狗,26.06211294
老,320.3255897
发现,-120.2540433
希望,289.6753009
翻,196.9329614
朋友,392.9552793
逼,490.561355
完,-180.5800421
钱,-108.3087533
哭,168.4777087
点赞,625.6745748
名字,75.64938099
带,-3.493226826
想要,88.46894054
可能,0.833830621
支持,804.6419758
渣,226.5568894
看着,392.9168837
快哭了,183.1204992
辛苦,945.6723838
问,-270.3999027
牛,490.7903696
评论,-73.63687685
看见,-139.6505198
有没有,-34.37637849
平安,1180.180275
年,-46.485072
一次,-163.2971139
可怜,341.222542
电视剧,104.8351942
原来,142.6435653
黑脸,-316.5942551
东西,-56.14949656
请,138.0631965
声音,362.7639764
儿子,111.4051458
刷到,-161.8705843
心心,981.3767139
兄弟,238.3327813
给力,1148.760062
机智,284.0774976
偷笑,223.6734829
女朋友,-225.5466691
月,-240.6350701
以前,30.35397062
终于,39.11777156
懂,121.9719532
妈妈,449.1030356
更新,-92.36862328
告诉,-89.40284613
美,670.8015983
有人,-46.41285175
我要,-95.60858044
直接,-124.5885311
怕,-15.97177678
不好,51.14844232
永远,468.2956804
特别,521.8276905
你好,652.1993886
头发,120.7564558
里面,2.109159894
肯定,23.6146508
世界,265.0855638
好多,51.17194861
不到,-239.7006497
为啥,-70.06122395
链接,-2.883500723
不失礼貌的微笑,-18.61916398
一点,146.2290922
衣服,114.9103993
需要,70.06316654
后,-43.12793275
居然,-48.89762414
家里,-127.9331032
刚,-113.1301991
开,-73.56459036
地方,135.4722868
后面,101.1295545
爱慕,1049.673205
女孩,164.5822862
其实,251.1833994
喝,-231.3839032
幸福,748.0267571
真是,405.8246081
跳,483.0393905
猫,11.02374775
危险,697.5668635
迷人,817.9923378
不了,-38.61120916
呆无辜,-42.26428717
调皮,516.1053835
来看我,600.3185179
一天,10.27320287
刚刷,121.4228413
柠檬,-209.4797918
宝宝,359.8450238
跑,-184.7240291
不用,-111.6608002
努力,245.6250763
帅,432.6707762
你家,73.07678712
好帅,698.2302621
放,-271.2157871
人民,875.7899131
不想,-76.38571399
第一,87.26078537
问题,-130.4066392
音乐,230.9813016
宝贝,511.1906872
眼睛,191.7144084
火,164.0899174
样子,333.63611
干,237.7608472
父母,95.857958
不行,-35.64293572
有个,39.95711394
妈,39.77669786
一只,11.33273597
每次,34.23811121
请问,81.29054207
感动,646.9024525
高,275.1049084
所有,298.7041875
疫情,138.3522429
心,496.3260653
柠檬树,-321.8805194
女儿,301.6057856
好吃,354.9496788
送,66.4157507
记得,27.85466324
一种,340.191845
天天,-15.63551597
粉丝,153.030607
总,236.8055426
同学,222.8201865
口罩,72.10497922
帮,57.25489306
憨,392.2517851
歌,258.6982197
生活,349.4212056
车,-18.63122463
全国,447.8217838
女生,142.1514258
每天,-14.73845791
看过,60.16410017
哒,823.2885645
妹妹,256.9260741
电视,93.7760746
美国,126.3849358
几个,-7.642781984
事,59.38995316
瘦,145.9204306
爸爸,197.6270919
直播,-15.83135333
开心,295.2988112
快乐,357.1115257
男生,107.9202829
国家,378.9736394
画,258.4455751
保护,529.2122363
晚上,-12.87298491
拥抱,273.8709752
手,61.22624158
突然,-46.07318938
骄傲,846.2189998
羡慕,452.9740657
吖,107.3269651
简单,454.1936498
碰拳,753.6034118
唱歌,524.2769738
话,204.566077
人生,195.0678003
奶奶,495.3258713
动态,63.88175837
生,126.1784908
首歌,262.0406988
有钱,227.6530937
小时候,98.55954143
温柔,369.2559687
一生,709.0379885
天,215.5351215
白眼,-167.6928672
找到,25.5095242
花,167.9469492
时间,-27.23899324
之前,-60.853884
只能,91.65445753
白衣天使,807.624266
卖,-65.78605261
爱情,95.62432567
发,-11.13592435
疑问,-127.176068
一句,-26.73236747
致敬,796.8411233
必须,415.1252366
睡,-95.3041435
沙发,78.75135522
祖国,715.1064531
期待,395.0699565
不配,62.26680818
先,1.362944422
竟然,4.333245359
掉,-155.7600507
好好看,256.2964897
岁,161.0178867
颜色,225.6320411
现实,228.3228449
站,173.1818555
换,19.29869854
见,42.38730235
媳妇,145.2626081
优秀,390.52577
不敢,19.06687855
腿,137.6313592
过来,24.70661677
官方,194.8580633
容易,225.6187577
多少钱,58.870767
年轻,506.7950248
想起,30.49721283
鸡,2.444692199
灵光一闪,147.1959094
养,-176.8930981
学,174.6926619
回,18.32430501
确实,369.7045752
好人,741.1427088
成,88.6936462
注意,70.45524019
试试,39.26915143
适合,176.0454402
痛,49.18802772
大哥,262.7872129
变成,163.069509
相信,208.5891876
钉,-332.320801
成功,96.31797093
故事,234.653402
才能,110.5210825
学习,298.1270539
到底,-5.71535832
今年,-61.2128292
加,122.4049888
起风,426.6069752
超级,453.3956049
同款,195.2268219
演,330.7104724
作品,340.2887066
小朋友,113.1330116
游戏,24.25054347
赢,186.5668615
最好,327.3138588
先生,95.66259915
武汉,464.2293733
长大,206.9556912
老板,123.608594
第一个,199.4102509
看完,-94.93976722
还要,2.697613042
身材,478.251619
放手,345.2489049
