word,sentiment
捂脸,56.02682544
玫瑰,1074.125952
赞赞,1097.810757
鼓掌,939.2575979
好,654.1551773
呲牙,544.6454058
爱心,1114.279407
泣不成声,222.3167976
看,-24.80269615
喜欢,609.8726326
人,91.38486602
比心,869.8035924
想,-25.48969123
泪奔,46.73001454
微笑,369.4664991
说,102.4211313
赞赞赞,994.0327803
赞,630.3105051
流泪,176.8529381
感谢,704.8122675
没,-351.2138355
去,-177.4312768
没有,-229.0020077
不是,-161.3571245
爱,483.5811976
好看,722.8473917
吃,-164.1624236
太,683.8108503
做,-3.452686386
小,314.9338218
知道,-91.8776881
哈哈哈,215.4253163
真的,359.7623125
可爱,907.5570426
加油,712.6495843
看到,-168.651875
中国,456.3427679
哈哈哈哈,285.1326049
视频,-11.36754134
感觉,237.011567
现在,-163.0256922
看看,11.37206682
好听,799.2479071
真,674.2533271
送心,703.2888218
买,-243.5043877
漂亮,977.3146263
一起加油,640.1473526
孩子,89.31883848
屏保,-161.6488135
觉得,282.3746729
笑,136.4812532
一下,-85.67712441
手机,-585.3989587
不会,-210.4252478
不能,-123.4670848
这种,246.039979
男,-172.2982332
死,-14.46478424
不要,-84.02724773
听,394.025149
灵机一动,159.8446461
这是,38.43250836
抠鼻,-163.963204
大笑,365.1094442
壁纸,-168.9390394
笑哭,220.0627116
美女,639.5955312
好像,15.1947515
应该,0.49361262
关注,255.2728557
挺,631.1665833
再,-192.7907278
拍,17.20577316
男人,202.0853335
家,137.3672829
出来,-190.0745696
打脸,42.35390412
最后,-22.64716108
一起,21.47057747
发怒,284.1553043
唱,503.2701212
女人,335.3237888
以后,-48.52160584
别人,-157.1873831
下,-334.4412842
是不是,-81.054359
快,-153.7594247
男朋友,-234.2752891
厉害,685.5539228
发呆,28.74553263
玩,-221.1934833
一定,223.9646108
里,-145.1806537
有点,158.1730643
老公,-119.2757994
今天,-94.40707552
抖音,-65.84306453
刷,-250.1122346
走,-93.16475511
不错,525.9332439
酷拽,-202.4713572
强壮,803.8799112
已经,-249.4520323
以为,-118.8329219
好好,392.0584972
找,-247.0011114
风格,794.4118027
戴口罩,200.7209251
哥哥,289.9013175
巧克力,771.7252974
两个,80.45947747
卧槽,170.7332021
奸笑,107.7310099
姐姐,469.5416929
耶,451.3742472
英雄,545.29864
害羞,508.9250845
回来,-96.68758084
老婆,34.54960591
求,130.8300084
穿,129.1585303
点,187.6400633
装修,596.1726549
祈祷,788.0637483
大家,35.73738864
回家,297.9465845
女,7.280805335
我家,-32.49426865
小姐姐,342.634836
谢谢,435.5070691
啊啊啊,511.8217483
老师,294.7201985
电影,-155.091186
刚刚,-225.03463
起来,203.8349457
欢迎,435.5614034
狗,-67.60657538
老,234.0710228
发现,-213.182972
希望,126.7387812
翻,161.3625596
朋友,249.9581267
逼,178.4660093
完,-202.2411629
钱,-198.7281549
哭,115.2372072
点赞,424.7330112
名字,38.78063335
带,-167.9361739
想要,152.213902
可能,-99.34612231
支持,573.2693842
渣,6.882950132
看着,336.7743663
快哭了,231.4509214
